Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.0523
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.04031
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.04864
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.04181
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.03796
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.03386
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.03437
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.03553
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.03582
2024,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF2,T,2025-12-09T00:00:00,2024,,0.0372
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.31975
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.2567
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.33636
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.24036
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.28816
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.38773
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.42666
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.50376
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.48935
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.61714
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.72328
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.5701
