Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2020,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.6
2021,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.36
2022,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.74
2023,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,404,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.6
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,139.63
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,137.49
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,133.39
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,137.01
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,138.75
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,140.82
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,145.16
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,147.01
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,144.25
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,133.94
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,137.35
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,143.96
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,140.77
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,144.17
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,143.48
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,148.54
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,148.06
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,145.88
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,148.06
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,149.01
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,145.7
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,153.4
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,154.39
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,154.37
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,404,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,156.62
