Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2023,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y_GE50,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.12
2000,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.7
2001,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.5
2002,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.3
2003,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,3.1
2004,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.8
2005,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.5
2006,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,2.2
2007,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.9
2008,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.4
2009,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.3
2010,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,1.1
2011,E,0,UNAIDS 2024 HIV ESTIMATES,SH_HIV_INCD,404,None,Y0T14,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,2023,0.89
