Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2021,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C728,PT,2024-03-13T00:00:00,2023,South Sudan,5.29
2022,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C728,PT,2024-03-13T00:00:00,2023,South Sudan,2.57
2023,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C728,PT,2024-03-13T00:00:00,2023,South Sudan,6.47
2016,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,7.5595
2017,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,4.99827
2018,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,5.52621
2019,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,6.27694
2020,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,5.98287
2021,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,4.76333
2022,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,4.51667
2023,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C800,PT,2024-03-13T00:00:00,2023,Uganda,4.5
2016,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,7.5595
2017,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,7.63023
2018,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,5.65296
2019,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,5.82121
2020,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,6.41359
2021,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,3.85667
2022,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,5.09
2023,A,0,Third quarter of the specified year.,"Remittance Prices Worldwide database, World Bank.",SI_RMT_COST_SC,404,C834,PT,2024-03-13T00:00:00,2023,United Republic of Tanzania,4.68333
2011,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,9.72
2015,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,11.04
2017,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,9.48
2018,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,11.12
2019,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,11.31
2020,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,9.54
2021,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,9.23
2022,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,12.82
2023,A,0,Third quarter of the specified year.,"World Development Indicators database, World Bank.",SI_RMT_COST_SND,404,None,PT,2024-02-29T00:00:00,2023,,10.15
