Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,4556.1
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,4906.8
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,4957.0
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,F,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,5038.7
2015,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,1849.8
2016,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2269.0
2017,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,2829.0
2018,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3147.6
2019,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3454.3
2020,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,3721.2
2021,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,4242.8
2022,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,4469.5
2023,O,3,NaN = A figure was not provided,,,NA,AG_PRD_FIESSN,404,M,Y_GE15,NUMBER,2025-08-08T00:00:00,2023-2025,4678.0
