Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,8.0
2003,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,9.4
2004,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,10.8
2005,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,12.3
2006,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,13.8
2007,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,15.2
2008,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,16.7
2009,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,18.4
2010,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,19.7
2011,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,21.6
2012,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,23.5
2013,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,25.8
2014,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,28.1
2015,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,30.9
2016,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,34.2
2017,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,37.7
2018,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,41.5
2019,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,45.8
2020,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,50.0
2021,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,54.7
2022,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,58.7
2023,A,0,83.7,36,"Global Health Observatory (GHO), World Health Organisation (WHO).",EG_EGY_CLEAN,404,U,PT,2025-06-18T00:00:00,2023,62.6
