Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2017,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.068
2018,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.065
2019,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.063
2020,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.059
2021,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.061
2022,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,404,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.06
2000,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.318
2001,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.343
2002,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.381
2003,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.306
2004,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.324
2005,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.339
2006,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.383
2007,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.34
2008,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.35
2009,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.333
2010,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.369
2011,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.406
2012,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.277
2013,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.262
2014,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.327
2015,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.35
2016,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.356
2017,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.344
2018,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.358
2019,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.317
2020,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.319
2021,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.352
2022,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,404,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.39
