Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,UNIT_MEASURE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,Mooring Name: Lamu | LATITUDE: -2.217 | LONGITUDE: 40.979,7.989,7.95,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C10,PH,Lamu,2025-03-28T00:00:00,2021,7.97
2021,A,0,Mooring Name: Mombasa | LATITUDE: -4.002 | LONGITUDE: 39.750,8.065,8.012,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C11,PH,Mombasa,2025-03-28T00:00:00,2021,8.028
2021,A,0,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C12,PH,Vanga,2025-03-28T00:00:00,2024,7.944
2022,A,0,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C12,PH,Vanga,2025-03-28T00:00:00,2024,7.916
2023,A,0,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C12,PH,Vanga,2025-03-28T00:00:00,2024,7.96214
2024,A,0,Mooring Name: Vanga | LATITUDE: -4.675 | LONGITUDE: 39.268,8.100,8.020,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C12,PH,Vanga,2025-03-28T00:00:00,2024,8.06
2022,A,0,Mooring Name: Mombasa_Coral Garden | LATITUDE: -4.000 | LONGITUDE: 39.750,8.16,7.90606,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C13,PH,Mombasa_Coral Garden,2025-03-28T00:00:00,2023,7.929
2023,A,0,Mooring Name: Mombasa_Coral Garden | LATITUDE: -4.000 | LONGITUDE: 39.750,8.16,7.90606,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C13,PH,Mombasa_Coral Garden,2025-03-28T00:00:00,2023,8.03806
2022,A,0,Mooring Name: Mombasa_Nyali | LATITUDE: -4.061 | LONGITUDE: 39.724,8.040,8.020,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C14,PH,Mombasa_Nyali,2025-03-28T00:00:00,2024,7.94
2023,A,0,Mooring Name: Mombasa_Nyali | LATITUDE: -4.061 | LONGITUDE: 39.724,8.040,8.020,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C14,PH,Mombasa_Nyali,2025-03-28T00:00:00,2024,8.08878
2024,A,0,Mooring Name: Mombasa_Nyali | LATITUDE: -4.061 | LONGITUDE: 39.724,8.040,8.020,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C14,PH,Mombasa_Nyali,2025-03-28T00:00:00,2024,8.03
2022,A,0,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.668 | LONGITUDE: 39.344,8.160,8.010,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C15,PH,Shimoni_Chanjale,2025-03-28T00:00:00,2024,7.959
2023,A,0,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.668 | LONGITUDE: 39.344,8.160,8.010,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C15,PH,Shimoni_Chanjale,2025-03-28T00:00:00,2024,7.96722
2024,A,0,Mooring Name: Shimoni_Chanjale | LATITUDE: -4.668 | LONGITUDE: 39.344,8.160,8.010,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C15,PH,Shimoni_Chanjale,2025-03-28T00:00:00,2024,8.085
2022,A,0,Mooring Name: Shimoni_Wasini | LATITUDE: -4.654 | LONGITUDE: 39.364,8.320,7.790,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C16,PH,Shimoni_Wasini,2025-03-28T00:00:00,2024,7.95
2023,A,0,Mooring Name: Shimoni_Wasini | LATITUDE: -4.654 | LONGITUDE: 39.364,8.320,7.790,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C16,PH,Shimoni_Wasini,2025-03-28T00:00:00,2024,7.86556
2024,A,0,Mooring Name: Shimoni_Wasini | LATITUDE: -4.654 | LONGITUDE: 39.364,8.320,7.790,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C16,PH,Shimoni_Wasini,2025-03-28T00:00:00,2024,8.055
2024,A,0,Mooring Name: Lamu_Iweni | LATITUDE: -2.217 | LONGITUDE: 40.979,,,Intergovernmental Oceanographic Commission (IOC) of UNESCO,ER_OAW_MNACD,404,C17,PH,Lamu_Iweni,2025-03-28T00:00:00,2024,8.195
