Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y_GE65,R,PT,2025-12-09T00:00:00,2021,2.47833
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y_GE65,U,PT,2025-12-09T00:00:00,2021,5.04667
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y15T24,None,PT,2025-12-09T00:00:00,2021,4.10708
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y15T24,R,PT,2025-12-09T00:00:00,2021,3.6475
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y15T24,U,PT,2025-12-09T00:00:00,2021,5.085
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y25T44,None,PT,2025-12-09T00:00:00,2021,2.93708
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y25T44,R,PT,2025-12-09T00:00:00,2021,2.74667
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y25T44,U,PT,2025-12-09T00:00:00,2021,3.16708
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y45T54,None,PT,2025-12-09T00:00:00,2021,3.26083
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y45T54,R,PT,2025-12-09T00:00:00,2021,3.23
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y45T54,U,PT,2025-12-09T00:00:00,2021,3.31833
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y55T64,None,PT,2025-12-09T00:00:00,2021,2.93083
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y55T64,R,PT,2025-12-09T00:00:00,2021,3.06833
2021,A,0,2021 Kenya Time Use Survey by Kenya National Bureau of Statistics,SL_DOM_TSPDDC,404,M,Y55T64,U,PT,2025-12-09T00:00:00,2021,2.52083
