Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,OCCUPATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2023,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_222_322,PER_10000_POP,2025-05-01T00:00:00,2023,22.73
2002,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.23
2008,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.25
2009,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.25
2010,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.22
2011,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.22
2012,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.22
2013,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.23
2014,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.24
2018,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.17
2019,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.25
2020,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.05
2022,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2261,PER_10000_POP,2025-05-01T00:00:00,2022,0.25
2004,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.51
2008,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.73
2009,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.72
2010,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.74
2012,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.47
2013,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.49
2014,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.51
2018,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.19
2020,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.17
2021,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.21
2022,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.25
2023,A,0,"National health Workforce Accounts database, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_DEN,404,None,ISCO08_2262,PER_10000_POP,2025-05-01T00:00:00,2023,0.21
2020,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_221,PT,2025-01-17T00:00:00,2023,43.1
2021,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_221,PT,2025-01-17T00:00:00,2023,41.1
2022,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_221,PT,2025-01-17T00:00:00,2023,42.1
2023,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_221,PT,2025-01-17T00:00:00,2023,44.1
2013,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,77.9
2014,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,77.6
2015,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,77.5
2016,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,76.9
2017,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,76.4
2018,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,75.9
2020,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,69.5
2021,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,68.0
2022,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,67.8
2023,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,F,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,73.1
2020,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_221,PT,2025-01-17T00:00:00,2023,56.9
2021,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_221,PT,2025-01-17T00:00:00,2023,58.9
2022,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_221,PT,2025-01-17T00:00:00,2023,57.9
2023,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_221,PT,2025-01-17T00:00:00,2023,55.9
2013,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,22.1
2014,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,22.4
2015,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,22.5
2016,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,23.1
2017,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,23.6
2018,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,24.1
2020,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,30.5
2021,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,32.0
2022,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,32.2
2023,A,0,"National health Workforce Accounts, WHO.  Available at https://apps.who.int/nhwaportal.",SH_MED_HWRKDIS,404,M,ISCO08_2221_3221,PT,2025-01-17T00:00:00,2023,26.9
