Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,34.3
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,33.7
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,33.1
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,32.9
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,32.4
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,31.9
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,F,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,30.9
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,69.5
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,66.7
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,63.8
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,60.7
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,57.7
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,54.4
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,51.6
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,49.5
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,46.9
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,46.4
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,45.9
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,45.4
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,45.6
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,45.2
