Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2023,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN_TRB,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2024,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN_TRB,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
2025,E,0,Ministry of Livestock Development,ER_GRF_ANIMRCNTN_TRB,404,NUMBER,2025-09-18T00:00:00,2025,NaN = A figure was not provided,0.0
1995,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,43722.0
2000,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,44790.0
2005,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,47726.0
2010,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,49396.0
2012,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,49505.0
2014,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,50068.0
2016,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,50323.0
2017,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,50323.0
2018,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,51023.0
2019,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,51405.0
2020,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,51405.0
2021,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,51405.0
2022,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,51405.0
2023,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,51405.0
2024,E,0,FAO-WIEWS (http://www.fao.org/wiews),ER_GRF_PLNTSTOR,404,NUMBER,2025-09-18T00:00:00,2024,Estimate based on 2019 report.,51405.0
